fips,poverty_count,median_income
12077,1290,53824
12079,3413,48176
12081,42741,75792
12083,55184,58535
12085,17817,80701
12086,394945,68694
12087,8412,82430
12089,8659,88900
12091,19364,79097
12093,7127,52288
12095,182784,77011
12097,50246,68711
12099,164211,81115
12101,64423,67384
12103,107618,70293
12105,109496,63644
12107,17409,47256
12109,19379,106169
12111,39878,69027
12113,15911,88968
12115,36101,80633
12117,43264,83030
12119,11723,73297
12121,5998,55479
12123,3225,44985
12125,1995,64922
12127,67642,66581
12129,1758,74183
12131,8912,79281
12133,4279,52723
13001,4310,43728
13003,2062,38438
13005,2223,50310
13007,832,44405
13009,8518,55413
13011,2396,68830
13013,8797,77477
13015,11092,79431
13017,4308,39081
13019,3979,50414
13021,37337,50747
13023,2289,53005
13025,3054,47801
13027,4056,47656
13029,3357,94234
13031,16801,56832
13033,4611,50739
13035,3032,59221
13037,866,55714
13039,8095,72399
13043,1870,50431
13045,18511,72327
13047,5898,72425
13049,2697,48534
13051,41100,69575
13053,772,59221
13055,4696,47785
13057,17693,105442
13059,30727,52267
13061,644,48715
13063,49531,58507
13065,1517,55549
13067,64760,98712
13069,7799,50175
13071,10835,49691
13073,10805,96122
13075,3494,50133
13077,12222,94142
13079,1593,60905
13081,4695,42745
13083,1280,58936
13085,2634,88986
13087,6976,50485
13089,101298,77683
13091,4040,50152
13093,1777,56545
13095,21255,46784
13097,16295,80764
13099,2216,53750
13101,458,61723
13103,4946,85465
13105,3989,49727
13107,5410,50053
13109,1870,53908
13111,3059,58073
13113,6603,108986
13115,15943,62540
13117,11712,138000
13119,4685,52264
13121,133805,91490
13123,4667,72542
13125,347,55250
13127,13668,68546
13129,7438,61997
13131,5318,54312
13133,1705,84530
13135,100570,84823
13137,6064,65622
13139,26231,77430
13141,2154,33182
13143,4596,65016
13145,2586,89184
13147,2940,57241
13149,2136,62907
13151,22940,81612
13153,16644,80743
13155,1657,53915
13157,6613,85012
13159,2125,59574
13161,3935,40879
13163,2810,46561
13165,1769,36906
13167,1351,54183
13169,3800,68259
13171,1895,68457
13173,2726,44361
13175,10944,49705
13177,2256,88024
13179,9289,59013
